ID,2_Boca_Rio_8_28_20,12_Boca_Rio_4_14_21,6_Boca_Rio_12_30_20,10_Boca_Rio_3_14_21,14_Boca_Rio_5_5_21,8_Boca_Rio_1_27_21,5_Radio_Club_12_30_20,1_Radio_Club_8_28_20,7_Radio_Club_1_27_21,4_Boca_Rio_11_10_20,9_Radio_Club_3_14_21,3_Radio_Club_11_10_20,13_Radio_Club_5_5_21
Candidatus Altiarchaeales archaeon IMC4,11,30,8,6,7,11,2,1,4,12,2,5,3
Candidatus Altiarchaeales archaeon WOR_SM1_79,12,8,8,7,14,18,10,1,4,12,9,0,6
Candidatus Altiarchaeales archaeon WOR_SM1_86-2,8,0,10,19,6,20,9,3,102,57,44,15,2
Candidatus Altiarchaeales archaeon WOR_SM1_SCG,13,8,13,11,14,37,7,5,6,15,2,7,0
Candidatus Altiarchaeales archaeon ex4484_2,7,1,8,3,7,6,3,1,2,9,0,4,0
Candidatus Altiarchaeales archaeon ex4484_43,1,0,0,1,2,2,0,5,0,1,0,0,0
Candidatus Altiarchaeales archaeon ex4484_96,2,2,0,2,2,1,1,3,0,4,0,0,0
Candidatus Altiarchaeales archaeon,32,35,18,26,26,31,11,3,5,44,11,1,1
Candidatus Bathyarchaeota archaeon B23,1,2,2,0,0,0,0,0,0,5,0,1,0
Candidatus Bathyarchaeota archaeon B24-2,0,0,1,0,0,0,0,0,0,0,0,0,0
Candidatus Bathyarchaeota archaeon B24,0,0,0,0,1,1,1,0,1,0,0,0,0
Candidatus Bathyarchaeota archaeon B25,0,0,0,0,0,0,0,1,0,0,0,0,0
Candidatus Bathyarchaeota archaeon B26-1,1,17,0,2,0,2,0,0,0,2,1,0,0
Candidatus Bathyarchaeota archaeon B26-2,10,21,7,12,4,4,7,5,3,4,1,0,2
Candidatus Bathyarchaeota archaeon B63,2,4,0,3,1,1,2,0,0,2,2,3,0
Candidatus Bathyarchaeota archaeon BA1,0,8,1,1,0,2,1,3,2,5,0,2,1
Candidatus Bathyarchaeota archaeon BA2,0,1,1,0,3,3,6,2,1,19,0,0,6
Candidatus Bathyarchaeota archaeon CG07_land_8_20_14_0_80_47_9,0,40,2,0,1,2,11,0,5,0,0,0,0
Candidatus Bathyarchaeota archaeon CG_4_8_14_3_um_filter_42_8,2,0,2,1,1,1,6,3,2,0,0,1,0
Candidatus Bathyarchaeota archaeon RBG_13_38_9,1,3,1,1,7,4,1,0,1,7,0,2,4
Candidatus Bathyarchaeota archaeon RBG_13_46_16b,2,1,5,4,9,3,6,0,0,2,0,0,3
Candidatus Bathyarchaeota archaeon RBG_13_52_12,9,3,6,10,7,8,1,0,0,20,1,1,2
Candidatus Bathyarchaeota archaeon RBG_13_60_20,0,2,6,3,0,5,0,1,0,7,2,0,1
Candidatus Bathyarchaeota archaeon RBG_16_48_13,2,2,1,0,1,3,2,2,0,0,1,0,3
Candidatus Bathyarchaeota archaeon RBG_16_57_9,2,0,1,1,4,3,2,2,1,1,0,0,0
Candidatus Bathyarchaeota archaeon ex4484_135,1,0,1,3,1,0,0,1,0,0,0,0,4
Candidatus Bathyarchaeota archaeon ex4484_205,0,1,0,0,0,0,0,0,0,1,0,0,0
Candidatus Bathyarchaeota archaeon ex4484_231,0,0,0,1,0,0,0,0,0,0,0,0,0
Candidatus Bathyarchaeota archaeon ex4484_40,0,0,0,0,1,1,0,0,0,3,0,0,1
Candidatus Bathyarchaeota archaeon,1284,731,3661,2504,1166,1145,409,636,187,3105,123,104,165
miscellaneous Crenarchaeota group archaeon SMTZ-80,10,9,6,5,2,5,4,4,2,16,2,2,1
miscellaneous Crenarchaeota group archaeon SMTZ1-55,3,1,1,4,3,2,0,0,1,2,2,0,1
miscellaneous Crenarchaeota group-1 archaeon SG8-32-1,9,1,28,21,2,10,2,1,5,33,2,0,0
miscellaneous Crenarchaeota group-1 archaeon SG8-32-3,8,0,2,0,0,0,14,0,3,5,2,1,0
miscellaneous Crenarchaeota group-15 archaeon DG-45,2,1,8,1,0,4,1,0,2,4,0,1,1
miscellaneous Crenarchaeota group-6 archaeon AD8-1,6,2,3,4,4,3,9,0,2,7,1,1,0
uncultured miscellaneous Crenarchaeota group,0,3,0,0,0,2,0,0,0,0,0,0,0
Candidatus Diapherotrites archaeon ADurb.Bin253,35,14,11,6,21,20,11,13,11,24,2,7,1
Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_30_16,2,1,3,4,6,2,0,1,2,5,0,0,0
Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_34_12,12,4,3,6,13,5,0,0,1,1,1,0,4
Candidatus Diapherotrites archaeon CG09_land_8_20_14_0_10_32_12,8,4,0,2,13,0,0,3,0,2,3,0,0
Candidatus Diapherotrites archaeon CG10_big_fil_rev_8_21_14_0_10_31_34,9,2,6,14,4,8,2,0,2,4,1,1,1
Candidatus Diapherotrites archaeon CG11_big_fil_rev_8_21_14_0_20_37_9,24,6,3,3,14,9,3,6,2,8,1,0,0
Candidatus Diapherotrites archaeon CG_4_10_14_0_2_um_filter_31_5,0,0,0,0,1,1,0,2,0,3,0,0,0
Candidatus Diapherotrites archaeon,29,2,4,9,10,9,0,6,1,18,3,1,7
Candidatus Geothermarchaeota archaeon ex4572_27,4,6,2,0,1,2,1,26,0,3,2,0,1
Candidatus Geothermarchaeota archaeon,15,4,4,1,3,6,0,40,1,17,0,3,1
Candidatus Heimdallarchaeota archaeon AB_125,5,10,16,4,6,7,1,3,0,13,1,0,4
Candidatus Heimdallarchaeota archaeon B3_Heim,11,14,21,15,8,24,9,43,6,20,3,1,3
Candidatus Heimdallarchaeota archaeon LC_2,25,18,22,16,29,27,5,15,4,21,5,6,2
Candidatus Heimdallarchaeota archaeon LC_3,22,24,21,36,13,19,1,7,3,20,1,7,4
Candidatus Heimdallarchaeota archaeon,188,121,325,153,123,106,34,47,13,301,19,22,1112
Candidatus Huberarchaeum crystalense,6,0,6,0,15,3,0,1,0,25,0,0,4
Candidatus Hydrothermarchaeota archaeon,11,5,14,3,4,13,4,7,6,9,3,1,1
Candidatus Korarchaeum cryptofilum,3,11,0,9,0,0,0,0,2,6,0,2,0
Candidatus Methanodesulfokores washburnensis,1,0,2,6,5,0,1,1,1,2,1,0,3
Candidatus Korarchaeota archaeon NZ13-K,9,2,4,0,5,2,1,1,0,2,0,0,3
Candidatus Korarchaeota archaeon,74,59,36,27,59,41,31,55,26,74,10,15,55
Candidatus Prometheoarchaeum syntrophicum,31,17,46,38,25,38,12,15,5,51,1,3,9
Lokiarchaeum sp. GC14_75,5,23,14,16,5,29,10,4,6,15,2,3,1
Candidatus Lokiarchaeota archaeon CR_4,7,5,15,4,14,20,10,25,3,15,0,2,2
Candidatus Lokiarchaeota archaeon Loki_b31,12,4,18,14,6,21,3,5,2,10,4,0,4
Candidatus Lokiarchaeota archaeon Loki_b32,1,7,11,4,8,13,5,0,1,18,1,0,0
Candidatus Lokiarchaeota archaeon,222,249,245,220,208,277,85,123,96,350,35,57,102
Candidatus Marsarchaeota G1 archaeon OSP_D,0,0,0,0,0,1,0,0,0,0,0,0,0
Candidatus Marsarchaeota G2 archaeon BE_D,3,0,4,5,1,1,1,2,0,2,0,0,0
Candidatus Marsarchaeota G2 archaeon ECH_B_1,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-G16,0,0,0,1,0,0,0,0,0,0,0,0,0
Candidatus Marsarchaeota G2 archaeon ECH_B_SAG-M15,0,1,2,0,0,0,0,0,0,1,0,0,0
Candidatus Marsarchaeota G2 archaeon OSP_D,2,0,0,0,1,1,0,0,0,0,0,0,3
Candidatus Anstonella stagnisolia,7,5,4,16,7,7,1,7,4,7,0,2,3
Candidatus Bilamarchaeum dharawalense,5,9,9,16,7,8,2,1,2,6,1,1,0
Candidatus Burarchaeum australiense,1,29,6,1,0,1,1,1,2,3,0,3,2
Candidatus Gugararchaeum adminiculabundum,3,2,7,6,6,2,1,1,1,3,0,2,5
Candidatus Micrarchaeum acidiphilum,9,3,5,1,3,3,2,4,0,2,1,0,0
Candidatus Micrarchaeum sp. ARMAN-1,5,0,1,0,0,0,1,0,0,0,0,2,0
Candidatus Micrarchaeum sp. AZ1,1,0,6,4,5,0,0,0,0,0,0,0,0
Candidatus Norongarragalina meridionalis,1,0,0,1,1,3,0,0,1,11,3,0,4
Candidatus Fermentimicrarchaeum limneticum,5,1,5,3,10,3,2,1,1,1,2,0,1
Candidatus Mancarchaeum acidiphilum,0,2,1,0,2,1,0,1,0,2,0,1,0
Candidatus Micrarchaeota archaeon CG06_land_8_20_14_3_00_50_6,0,0,0,1,0,0,0,0,1,0,0,0,0
Candidatus Micrarchaeota archaeon CG08_land_8_20_14_0_20_49_17,0,0,0,0,0,0,0,0,0,2,0,0,0
Candidatus Micrarchaeota archaeon CG08_land_8_20_14_0_20_59_11,0,1,0,0,1,1,1,0,0,3,0,0,1
Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_29,7,6,3,4,7,4,1,3,2,4,1,0,2
Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_54_18,0,1,0,0,0,0,0,0,1,0,0,0,0
Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_59_7,2,2,2,0,1,3,0,6,0,2,0,0,0
Candidatus Micrarchaeota archaeon CG11_big_fil_rev_8_21_14_0_20_47_5,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Micrarchaeota archaeon CG1_02_47_40,0,0,0,1,1,1,4,2,4,5,1,0,1
Candidatus Micrarchaeota archaeon CG1_02_49_24,0,0,0,0,0,3,0,0,0,0,0,0,0
Candidatus Micrarchaeota archaeon CG1_02_51_15,5,0,3,2,3,3,2,2,1,3,1,1,0
Candidatus Micrarchaeota archaeon CG1_02_55_22,5,2,4,4,3,2,2,5,0,2,3,0,1
Candidatus Micrarchaeota archaeon CG1_02_55_41,0,0,0,0,0,0,0,0,0,0,1,0,0
Candidatus Micrarchaeota archaeon CG1_02_60_51,0,0,1,0,0,0,0,0,0,0,0,0,0
Candidatus Micrarchaeota archaeon CG_4_10_14_0_2_um_filter_49_7,0,0,1,0,0,0,0,1,1,0,0,0,0
Candidatus Micrarchaeota archaeon CG_4_10_14_0_8_um_filter_60_7,0,0,0,0,0,3,0,0,0,0,0,0,0
Candidatus Micrarchaeota archaeon RBG_16_36_9,3,3,0,10,11,5,0,10,0,16,2,0,0
Candidatus Micrarchaeota archaeon RBG_16_49_10,9,4,3,0,12,2,1,1,0,3,0,1,1
Candidatus Micrarchaeota archaeon,33,9,18,9,8,9,8,6,1,24,2,5,0
Candidatus Nanohalobium constans,3,3,3,1,2,2,1,1,3,1,0,0,2
Candidatus Nanohaloarchaeota archaeon,27,16,8,13,16,9,2,4,2,25,10,6,1
Candidatus Nezhaarchaeota archaeon WYZ-LMO7,0,1,0,0,0,0,0,0,0,0,0,0,1
Candidatus Nezhaarchaeota archaeon WYZ-LMO8,0,0,1,1,2,0,1,0,0,0,0,0,0
Candidatus Odinarchaeota archaeon LCB_4,6,10,2,0,6,3,2,2,1,1,2,0,3
Candidatus Parvarchaeum acidiphilum,1,0,1,0,3,1,0,10,0,0,0,2,1
Candidatus Parvarchaeum acidophilus,5,5,0,2,2,1,0,0,0,6,1,0,2
Candidatus Parvarchaeota archaeon,26,0,9,14,11,7,0,1,3,17,0,0,1
Candidatus Thalassarchaeum betae,0,0,2,1,0,0,0,0,0,1,0,0,0
Candidatus Thalassoarchaea marina,1,0,2,7,0,4,0,0,0,0,0,0,0
uncultured Candidatus Thalassoarchaea euryarchaeote,188,2,347,407,21,130,0,0,0,40,0,0,1
Candidatus Poseidoniales archaeon,11880,305,38875,79054,1198,20951,52,210,38,2474,24,61,125
Marine Group II euryarchaeote MED-G33,14,9,20,22,4,10,7,1,2,23,0,1,0
Marine Group II euryarchaeote MED-G34,2,1,1,2,1,2,0,0,0,1,0,0,0
Marine Group II euryarchaeote MED-G35,10,2,30,19,3,19,0,0,2,17,0,0,0
Marine Group II euryarchaeote MED-G36,6,1,10,22,7,7,0,5,0,6,0,0,0
Marine Group II euryarchaeote MED-G37,16,2,18,17,3,10,0,0,2,2,0,0,0
Marine Group II euryarchaeote MED-G38,5,0,29,12,2,4,0,0,0,10,0,0,1
uncultured Candidatus Poseidoniales archaeon,4282,3,11377,29304,783,8091,0,2,0,906,0,0,2
uncultured marine group II euryarchaeote 37F11,44,0,41,280,2,21,0,0,0,3,0,0,0
uncultured marine group II euryarchaeote HF70_39H11,0,0,3,0,0,0,0,0,0,0,0,0,0
uncultured marine group II euryarchaeote HF70_59C08,0,0,0,0,2,0,0,0,0,0,0,0,0
uncultured marine group II euryarchaeote KM3-85-F5,1,0,1,0,0,0,0,0,0,0,0,0,0
Marine Group III euryarchaeote CG-Bathy1,15,11,17,26,11,17,0,0,2,4,1,1,0
Marine Group III euryarchaeote CG-Epi1,9,5,18,13,4,13,0,1,1,15,2,1,0
Marine Group III euryarchaeote CG-Epi2,16,5,21,55,24,12,0,1,1,5,0,0,0
Marine Group III euryarchaeote CG-Epi3,8,2,14,20,4,23,0,1,0,9,0,1,3
Marine Group III euryarchaeote CG-Epi4,3,1,10,6,6,15,0,0,0,4,0,1,0
Marine Group III euryarchaeote CG-Epi5,5,0,5,6,2,2,0,0,0,1,0,0,0
Marine Group III euryarchaeote CG-Epi6,2,2,6,6,0,1,0,0,0,1,0,3,0
uncultured marine group III euryarchaeote KM3-28-E8,1,21,2,0,0,2,0,0,0,1,0,0,0
uncultured marine group III euryarchaeote SAT1000-53-B3,0,2,0,0,0,0,0,0,0,0,0,0,0
Aciduliprofundum boonei,7,3,7,3,2,7,1,32,3,7,2,2,0
Aciduliprofundum sp.,5,1,8,8,1,4,5,1,3,8,0,0,0
Candidatus Methanomethylophilus alvus,2,3,3,4,2,7,6,0,1,20,2,3,0
Candidatus Methanomethylophilus sp. 1R26,0,0,0,1,0,0,5,0,2,0,2,2,2
Candidatus Methanogranum sp. U3.2.1,10,1,10,29,17,45,61,4,44,98,11,24,1
Candidatus Methanoplasma termitum,4,1,6,8,1,33,30,3,26,58,19,17,2
Candidatus Methanomassiliicoccus intestinalis,5,47,5,3,4,8,7,2,12,25,10,5,6
Methanomassiliicoccus luminyensis,4,15,7,10,2,15,13,4,12,15,8,7,1
Methanomassiliicoccus sp.,7,5,15,11,14,18,14,9,12,40,7,6,2
Methanomassiliicoccaceae archaeon DOK,0,0,0,1,0,2,9,4,7,5,0,4,1
Methanomassiliicoccales archaeon Mx-02,5,16,25,3,2,29,25,1,26,84,12,26,3
Methanomassiliicoccales archaeon Mx-03,0,33,0,0,0,0,2,1,3,6,0,1,0
Methanomassiliicoccales archaeon Mx-06,0,1,6,4,0,14,18,0,12,23,5,7,3
Methanomassiliicoccales archaeon PtaB.Bin134,0,1,11,7,2,17,12,9,14,50,3,8,3
Methanomassiliicoccales archaeon PtaB.Bin215,1,4,29,4,4,34,31,2,23,76,1,12,0
Methanomassiliicoccales archaeon PtaU1.Bin030,4,0,2,6,0,7,14,3,4,13,0,6,5
Methanomassiliicoccales archaeon PtaU1.Bin124,8,4,10,11,3,8,7,15,3,21,1,1,1
Methanomassiliicoccales archaeon RumEn M1,1,3,1,2,7,3,7,1,4,10,3,8,1
Methanomassiliicoccales archaeon RumEn M2,4,12,18,17,2,71,119,2,45,131,28,28,0
Methanomassiliicoccales archaeon,39,31,33,31,33,27,23,20,7,51,3,10,12
Thermoplasmata archaeon HGW-Thermoplasmata-1,10,8,9,16,14,9,5,3,3,15,0,1,0
Thermoplasmata archaeon HGW-Thermoplasmata-2,3,7,1,3,2,7,4,1,0,1,2,2,2
Thermoplasmata archaeon M11B2D,97,0,22,19,160,18,2,76,1,51,2,8,13
Thermoplasmata archaeon M8B2D,22,17,20,15,24,37,24,33,26,79,9,7,5
Thermoplasmata archaeon M9B1D,0,4,4,1,4,3,2,1,1,2,4,4,0
Thermoplasmata archaeon M9B2D,3,4,10,8,5,14,7,4,5,34,2,4,0
Thermoplasmata archaeon,458,296,549,422,362,367,193,474,132,850,68,76,107
methanogenic archaeon ISO4-H5,10,3,8,6,2,12,16,0,13,25,7,6,0
uncultured Thermoplasmata archaeon,0,1,2,0,0,0,0,1,0,0,0,0,0
Cuniculiplasma divulgatum,1,0,0,3,3,0,0,0,0,0,0,2,0
Cuniculiplasma sp. C_DKE,0,1,0,0,0,0,0,0,0,1,0,0,0
Acidiplasma cupricumulans,0,1,0,0,0,0,0,0,0,0,0,0,0
Acidiplasma sp. MBA-1,0,0,2,3,0,0,0,0,0,0,0,0,0
Ferroplasma acidarmanus,0,0,0,2,0,0,1,0,0,1,0,0,0
Ferroplasma acidiphilum,0,2,0,1,0,0,1,0,0,1,2,1,0
Ferroplasma sp. Type II,3,2,0,1,2,2,2,0,1,3,1,1,1
Thermoplasmatales archaeon 49_6,0,0,0,1,0,2,1,0,1,1,0,0,0
Thermoplasmatales archaeon A-plasma,3,4,6,10,7,2,6,6,2,3,0,0,0
Thermoplasmatales archaeon BRNA1,5,0,9,2,3,13,15,0,22,23,4,7,1
Thermoplasmatales archaeon B_DKE,0,0,0,0,0,0,0,0,0,1,0,0,0
Thermoplasmatales archaeon E-plasma,4,0,4,6,15,7,3,0,1,2,3,0,0
Thermoplasmatales archaeon Gpl,4,0,7,13,1,2,2,0,0,0,0,0,0
Thermoplasmatales archaeon I-plasma,3,3,1,3,1,2,0,1,4,5,0,1,9
Thermoplasmatales archaeon SCGC AB-539-C06,18,0,10,3,8,4,0,0,0,15,0,0,0
Thermoplasmatales archaeon SCGC AB-539-N05,6,6,4,3,6,6,0,0,0,8,2,3,2
Thermoplasmatales archaeon SCGC AB-540-F20,3,2,17,6,5,9,2,0,1,11,0,0,0
Thermoplasmatales archaeon SG8-52-1,12,5,19,15,19,17,4,0,2,21,2,1,0
Thermoplasmatales archaeon SG8-52-2,5,7,14,6,13,9,1,0,5,6,0,1,0
Thermoplasmatales archaeon SG8-52-3,32,6,57,24,42,41,3,11,10,57,2,4,0
Thermoplasmatales archaeon SG8-52-4,23,2,29,18,10,30,9,41,4,59,1,5,6
Thermoplasmatales archaeon SM1-50,10,7,9,7,10,8,4,0,6,11,1,0,9
Thermoplasmatales archaeon SW_10_69_26,11,20,10,7,4,9,6,8,0,2,1,4,6
Thermoplasmatales archaeon ex4484_30,4,0,2,2,0,2,0,1,0,7,1,1,0
Thermoplasmatales archaeon ex4484_6,4,0,4,3,0,1,0,0,3,5,0,0,0
Thermoplasmatales archaeon ex4572_165,2,1,4,3,1,3,0,0,3,5,0,0,0
Thermoplasmatales archaeon,75,40,191,95,97,125,22,40,15,153,6,14,2
Thermogymnomonas acidicola,3,3,3,2,1,3,8,0,1,7,1,0,0
Picrophilus oshimae,1,2,0,0,0,0,2,0,0,0,0,0,0
Picrophilus torridus,0,0,0,0,1,0,0,0,0,0,0,0,0
Thermoplasma acidophilum,0,1,5,2,0,0,0,0,1,8,2,0,0
Thermoplasma sp. Kam2015,2,1,2,0,2,1,0,3,3,0,1,0,3
Thermoplasma sp.,2,0,0,1,2,0,2,0,0,1,0,0,0
Thermoplasma volcanium,2,1,2,3,1,4,1,0,1,1,1,2,0
Candidatus Thorarchaeota archaeon AB_25,4,18,13,5,0,17,2,1,1,13,0,2,2
Candidatus Thorarchaeota archaeon SMTZ-45,25,1,27,9,2,23,0,13,4,30,1,0,6
Candidatus Thorarchaeota archaeon SMTZ1-45,7,9,8,0,3,6,1,0,0,12,0,1,2
Candidatus Thorarchaeota archaeon SMTZ1-83,3,6,7,2,2,5,3,1,0,11,1,1,0
Candidatus Thorarchaeota archaeon,291,197,463,269,332,307,164,3601,114,457,86,148,167
Candidatus Methanosuratus subterraneum,6,6,3,0,5,3,2,5,2,6,1,0,3
Candidatus Verstraetearchaeota archaeon,15,33,29,25,18,20,11,10,12,26,14,7,5
Candidatus Woesearchaeota archaeon B3_Woes,67,3,28,35,120,39,3,7,2,75,0,3,1
Candidatus Woesearchaeota archaeon CG06_land_8_20_14_3_00_33_13,0,0,0,0,3,0,0,0,0,0,0,0,0
Candidatus Woesearchaeota archaeon CG07_land_8_20_14_0_80_44_23,6,4,3,6,8,6,2,0,2,6,0,0,0
Candidatus Woesearchaeota archaeon CG08_land_8_20_14_0_20_43_7,9,3,7,4,9,3,0,1,1,12,1,1,0
Candidatus Woesearchaeota archaeon CG08_land_8_20_14_0_20_47_9,2,0,5,4,8,2,0,0,0,2,0,0,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_30_7,17,9,8,11,29,18,0,2,0,17,3,2,1
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_32_24,32,6,7,10,35,12,2,1,2,11,1,0,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_32_9,60,5,25,23,55,17,2,0,12,46,6,0,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_33_12,7,7,3,4,4,5,0,3,0,4,0,0,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12,25,0,13,7,23,7,1,2,2,11,0,0,3
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_8,44,1,23,20,36,18,1,3,2,28,0,0,3
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_36_11,28,7,15,21,33,37,6,2,17,42,6,14,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_37_12,41,5,19,14,43,13,4,3,3,32,2,6,2
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_44_13,68,7,21,26,67,42,2,3,5,44,1,5,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_16,34,5,18,21,50,38,1,3,3,44,5,0,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_5,0,0,3,0,4,1,0,1,0,7,0,0,0
Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_47_5,0,0,0,0,0,0,0,0,0,0,0,1,0
Candidatus Woesearchaeota archaeon CG11_big_fil_rev_8_21_14_0_20_43_8,12,3,8,13,12,12,0,0,0,13,0,0,0
Candidatus Woesearchaeota archaeon CG11_big_fil_rev_8_21_14_0_20_57_5,2,1,1,0,1,0,0,0,2,0,0,0,3
Candidatus Woesearchaeota archaeon CG1_02_33_12,6,1,6,2,4,5,1,7,1,34,1,1,1
Candidatus Woesearchaeota archaeon CG1_02_47_18,1,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Woesearchaeota archaeon CG1_02_57_44,3,4,4,0,7,0,3,3,0,1,2,0,1
Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_10,4,15,0,3,4,0,0,0,1,0,0,0,0
Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_33_13,63,6,21,29,62,31,7,37,3,52,5,2,3
Candidatus Woesearchaeota archaeon CG_4_10_14_0_2_um_filter_57_5,0,3,0,1,3,0,0,0,0,2,0,0,0
Candidatus Woesearchaeota archaeon CG_4_10_14_0_8_um_filter_47_5,30,0,13,11,35,19,1,2,3,17,1,2,0
Candidatus Woesearchaeota archaeon RBG_13_36_6,20,0,7,8,16,9,0,1,1,16,0,2,0
Candidatus Woesearchaeota archaeon ex4484_78,2,2,5,6,11,1,0,0,0,6,0,0,0
Candidatus Woesearchaeota archaeon,832,163,280,370,793,393,111,71,165,1005,40,110,31
uncultured Candidatus Woesearchaeota archaeon,1,0,0,0,0,0,0,0,0,0,0,0,0
Crenarchaeota archaeon 13_1_20CM_2_51_8,3,3,0,0,5,1,0,0,3,3,2,2,3
Crenarchaeota archaeon 13_1_20CM_2_53_14,0,0,0,0,0,1,0,0,0,0,0,0,0
Crenarchaeota archaeon 13_1_40CM_3_52_10,0,0,2,2,0,0,0,0,0,0,0,0,0
Crenarchaeota archaeon 13_1_40CM_3_52_17,0,7,0,0,0,1,0,0,0,0,0,1,0
Crenarchaeota archaeon 13_1_40CM_3_53_5,0,0,4,2,0,5,0,0,0,0,0,0,1
Crenarchaeota archaeon,10,6,16,14,3,36,10,26,13,23,3,6,10
uncultured crenarchaeote MCG,0,0,0,0,0,0,1,0,0,0,0,0,0
uncultured crenarchaeote,2,0,0,1,0,0,0,0,0,1,0,0,0
Acidilobus saccharovorans,1,3,3,4,1,2,1,0,1,1,0,0,0
Acidilobus sp. 7A,8,0,2,1,0,0,0,3,0,4,0,0,2
uncultured Acidilobus sp. CIS,1,0,0,0,0,0,0,0,1,0,0,0,0
uncultured Acidilobus sp. JCHS,0,0,4,0,0,0,0,0,0,2,0,0,0
uncultured Acidilobus sp. OSP8,0,1,1,0,0,1,0,0,0,0,0,0,0
Caldisphaera lagunensis,1,4,1,10,1,5,3,0,6,19,3,13,1
Caldisphaera sp.,15,6,12,10,6,7,1,1,3,23,0,0,2
Aeropyrum camini,0,1,1,3,0,1,2,2,0,4,0,2,6
Aeropyrum pernix,1,4,2,2,0,1,4,0,3,3,0,3,11
Desulfurococcus amylolyticus,2,3,0,0,6,0,1,1,1,1,0,0,2
Desulfurococcus mucosus,0,3,0,3,0,0,0,1,0,0,0,0,0
Ignicoccus hospitalis,4,5,3,3,4,2,0,0,0,9,3,0,1
Ignicoccus islandicus,1,1,4,3,2,3,3,1,1,0,4,0,1
Ignisphaera aggregans,1,5,4,1,1,3,6,3,3,6,0,1,1
Desulfurococcaceae archaeon AG1,7,4,5,8,1,5,2,12,0,7,0,0,1
Desulfurococcaceae archaeon,0,2,0,0,1,3,0,0,0,0,0,0,1
Staphylothermus hellenicus,7,4,2,3,0,1,2,3,1,0,0,0,0
